LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC1749,VIC206,Yarra Ranges,Mooroolbark,Greater Metropolitan Melbourne,YARRA RANGES,Outer Metropolitan,VIC,3138
VIC175,VIC212,Cardinia,Beaconsfield,Greater Metropolitan Melbourne,CARDINIA,Outer Metropolitan,VIC,3807
VIC175,VIC213,Casey,Beaconsfield,Greater Metropolitan Melbourne,CASEY,Outer Metropolitan,VIC,3807
VIC1750,VIC93,Greater Shepparton,Mooroopna,Hume,GREATER SHEPPARTON,,VIC,3629
VIC1751,VIC93,Greater Shepparton,Mooroopna North,Hume,GREATER SHEPPARTON,,VIC,3629
VIC1752,VIC93,Greater Shepparton,Mooroopna North West,Hume,GREATER SHEPPARTON,,VIC,3616
VIC1753,VIC211,Mitchell,Moranding,Hume,MITCHELL,,VIC,3764
VIC1754,VIC226,Kingston,Mordialloc,Greater Metropolitan Melbourne,KINGSTON,Metropolitan Melbourne,VIC,3195
VIC1755,VIC233,Southern Grampians,Morgiana,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3301
VIC1756,VIC225,Surf Coast,Moriac,Barwon South West,SURF COAST,,VIC,3240
VIC1757,VIC204,Mornington Peninsula,Mornington,Greater Metropolitan Melbourne,MORNINGTON PENINSULA,Outer Metropolitan,VIC,3931
VIC1758,VIC218,Wellington,Moroka,Gippsland,WELLINGTON,,VIC,3860
VIC1759,VIC230,Golden Plains,Morrisons,Grampians,GOLDEN PLAINS,,VIC,3333
VIC1759,VIC236,Moorabool,Morrisons,Grampians,MOORABOOL,,VIC,3334
VIC176,VIC212,Cardinia,Beaconsfield Upper,Greater Metropolitan Melbourne,CARDINIA,Outer Metropolitan,VIC,3808
VIC1760,VIC166,Northern Grampians,Morrl Morrl,Grampians,NORTHERN GRAMPIANS,,VIC,3387
VIC1761,VIC229,Moyne,Mortlake,Barwon South West,MOYNE,,VIC,3272
VIC1762,VIC183,Buloke,Morton Plains,Loddon Mallee,BULOKE,,VIC,3482
VIC1763,VIC219,Latrobe,Morwell,Gippsland,LATROBE,,VIC,3840
VIC1764,VIC243,East Gippsland,Mossiface,Gippsland,EAST GIPPSLAND,,VIC,3885
VIC1765,VIC187,Towong,Mount Alfred,Hume,TOWONG,,VIC,3709
VIC1766,VIC242,Alpine,Mount Beauty,Hume,ALPINE,,VIC,3699
VIC1767,VIC94,Hepburn,Mount Beckworth,Grampians,HEPBURN,,VIC,3363
VIC1768,VIC178,South Gippsland,Mount Best,Gippsland,SOUTH GIPPSLAND,,VIC,3960
